product_id,product_name,category,sub_category,unit_cost,unit_price,weight_kg,warranty_months,launch_date,status
PROD001,Daiko WorkStation 101,Consumer Electronics,Laptops,235.72,330.62,1.281,12,2023-07-01,Active
PROD002,Daiko TorqueMax 101,Industrial Components,Motors,311.21,453.72,8.464,12,2021-12-05,Active
PROD003,Daiko CoreProc 101,Semiconductors,Processors,353.18,514.36,0.192,36,2020-04-19,Discontinued
PROD004,Daiko EdgeRouter 101,Networking Equipment,Routers,330.34,420.72,4.427,24,2018-08-29,Active
PROD005,Daiko PowerCell 101,Power Systems,Batteries,225.52,347.54,19.327,24,2019-06-20,Active
PROD006,Daiko TabLite 101,Consumer Electronics,Tablets,511.94,671.7,1.444,24,2021-11-08,Discontinued
PROD007,Daiko TorqueMax 102,Industrial Components,Motors,130.8,196.6,11.913,24,2018-03-24,Active
PROD008,Daiko ZenerPro 101,Semiconductors,Diodes,369.68,562.07,0.186,12,2020-09-08,Active
PROD009,Daiko WiFi AP 101,Networking Equipment,Access Points,195.07,292.65,1.964,24,2020-08-08,Active
PROD010,Daiko EnergyPack 101,Power Systems,Batteries,423.17,614.71,13.601,24,2019-09-03,Active
PROD011,Daiko WorkStation 102,Consumer Electronics,Laptops,890.44,1117.6,2.156,36,2019-07-28,Active
PROD012,Daiko ProxSensor 101,Industrial Components,Sensors,156.12,214.84,9.129,36,2024-05-22,Active
PROD013,Daiko MemChip 101,Semiconductors,Memory Chips,328.61,480.33,0.24,36,2020-09-15,Active
PROD014,Daiko EdgeRouter 102,Networking Equipment,Routers,245.97,340.82,7.967,24,2019-04-04,Active
PROD015,Daiko SolarInvert 101,Power Systems,Inverters,55.77,86.57,35.908,24,2023-12-14,Active
PROD016,Daiko HomeHub 101,Consumer Electronics,Smart Home,236.33,320.96,4.78,24,2022-03-03,Active
PROD017,Daiko LogicPanel 101,Industrial Components,Control Units,227.74,308.07,5.259,36,2024-10-08,Active
PROD018,Daiko CoreProc 102,Semiconductors,Processors,354.59,476.25,0.016,12,2023-06-08,Active
PROD019,Daiko MeshPoint 101,Networking Equipment,Access Points,159.74,218.28,4.752,12,2022-04-16,Active
PROD020,Daiko ChargeDock 101,Power Systems,Chargers,243.35,351.66,24.805,12,2023-11-30,Seasonal
PROD021,Daiko EliteBook 101,Consumer Electronics,Laptops,138.81,207.86,0.964,24,2024-09-15,Active
PROD022,Daiko LogicPanel 102,Industrial Components,Control Units,70.67,104.73,3.001,12,2018-05-02,Active
PROD023,Daiko EdgeCPU 101,Semiconductors,Processors,205.36,314.76,0.379,12,2018-09-30,Active
PROD024,Daiko MeshPoint 102,Networking Equipment,Access Points,458.44,715.2,6.765,12,2021-08-10,Active
PROD025,Daiko PowerCell 102,Power Systems,Batteries,158.29,243.07,18.205,12,2019-02-02,Seasonal
PROD026,Daiko HomeHub 102,Consumer Electronics,Smart Home,275.54,346.25,1.807,36,2024-11-23,Active
PROD027,Daiko ProxSensor 102,Industrial Components,Sensors,191.14,288.16,1.208,12,2020-09-11,Seasonal
PROD028,Daiko FlashCore 101,Semiconductors,Memory Chips,118.54,156.82,0.468,24,2021-05-15,Active
PROD029,Daiko WiFi AP 102,Networking Equipment,Access Points,265.09,343.7,3.84,24,2021-02-07,Active
PROD030,Daiko SolarInvert 102,Power Systems,Inverters,58.01,85.48,10.649,36,2021-07-25,Active
PROD031,Daiko SecureCam 101,Consumer Electronics,Smart Home,795.71,1083.69,1.238,12,2023-03-26,Discontinued
PROD032,Daiko MicroMotor 101,Industrial Components,Motors,162.84,206.81,0.412,36,2022-02-14,Active
PROD033,Daiko ZenerPro 102,Semiconductors,Diodes,212.2,275.47,0.02,24,2023-04-01,Active
PROD034,Daiko EdgeRouter 103,Networking Equipment,Routers,420.63,525.92,6.686,36,2020-03-30,Active
PROD035,Daiko EnergyPack 102,Power Systems,Batteries,483.26,756.85,12.051,36,2023-05-11,Active
PROD036,Daiko SecureCam 102,Consumer Electronics,Smart Home,773.05,972.97,3.395,12,2024-06-26,Seasonal
PROD037,Daiko ProxSensor 103,Industrial Components,Sensors,149.62,197.99,9.455,12,2018-06-28,Active
PROD038,Daiko ZenerPro 103,Semiconductors,Diodes,44.44,62.02,0.08,12,2020-06-15,Active
PROD039,Daiko MeshPoint 103,Networking Equipment,Access Points,386.61,531.51,2.331,24,2024-03-16,Discontinued
PROD040,Daiko PowerCell 103,Power Systems,Batteries,378.91,594.55,16.019,12,2023-05-27,Active
PROD041,Daiko SoundMax 101,Consumer Electronics,Audio Devices,786.75,994.53,5.729,12,2022-04-01,Seasonal
PROD042,Daiko CtrlCore 101,Industrial Components,Control Units,312.74,446.99,4.205,24,2019-05-07,Active
PROD043,Daiko MemChip 102,Semiconductors,Memory Chips,109.9,163.55,0.242,12,2018-03-02,Active
PROD044,Daiko EdgeRouter 104,Networking Equipment,Routers,63.23,99.66,0.694,12,2020-12-13,Discontinued
PROD045,Daiko PowerCell 104,Power Systems,Batteries,354.31,519.82,21.298,24,2022-08-31,Active
PROD046,Daiko TabLite 102,Consumer Electronics,Tablets,895.77,1371.71,1.45,12,2018-03-06,Active
PROD047,Daiko CtrlCore 102,Industrial Components,Control Units,112.59,144.04,1.88,12,2019-08-09,Active
PROD048,Daiko ZenerPro 104,Semiconductors,Diodes,370.32,512.92,0.391,24,2022-09-24,Active
PROD049,Daiko EdgeRouter 105,Networking Equipment,Routers,421.83,582.5,7.271,24,2024-01-28,Active
PROD050,Daiko TransCore 101,Power Systems,Transformers,338.69,528.42,18.597,36,2019-06-19,Seasonal
PROD051,Daiko TabLite 103,Consumer Electronics,Tablets,377.71,492.15,3.659,24,2023-11-26,Active
PROD052,Daiko PressureGuard 101,Industrial Components,Sensors,175.37,228.54,6.883,24,2023-02-14,Active
PROD053,Daiko ZenerPro 105,Semiconductors,Diodes,377.29,515.0,0.492,24,2020-10-01,Seasonal
PROD054,Daiko MeshPoint 104,Networking Equipment,Access Points,410.45,520.89,6.176,36,2024-11-04,Active
PROD055,Daiko TransCore 102,Power Systems,Transformers,424.31,557.48,7.477,36,2021-05-14,Active
PROD056,Daiko SoundMax 102,Consumer Electronics,Audio Devices,166.1,263.74,4.237,36,2020-11-05,Active
PROD057,Daiko CtrlCore 103,Industrial Components,Control Units,263.21,368.46,0.895,24,2018-11-23,Seasonal
PROD058,Daiko MCU-Lite 101,Semiconductors,Microcontrollers,374.1,550.38,0.055,12,2019-08-31,Active
PROD059,Daiko GigaSwitch 101,Networking Equipment,Switches,185.8,279.47,5.543,12,2018-01-02,Discontinued
PROD060,Daiko StepDown 101,Power Systems,Transformers,143.43,197.71,3.161,12,2020-10-30,Discontinued
PROD061,Daiko TabLite 104,Consumer Electronics,Tablets,378.29,492.36,4.666,36,2024-10-17,Active
PROD062,Daiko CtrlCore 104,Industrial Components,Control Units,162.38,214.72,9.864,24,2018-05-05,Active
PROD063,Daiko MCU-X 101,Semiconductors,Microcontrollers,248.66,338.09,0.021,24,2021-01-09,Discontinued
PROD064,Daiko RouteMax 101,Networking Equipment,Routers,494.96,728.89,0.811,12,2024-12-07,Active
PROD065,Daiko ChargeDock 102,Power Systems,Chargers,582.29,809.03,22.445,36,2023-02-05,Discontinued
PROD066,Daiko EliteBook 102,Consumer Electronics,Laptops,871.26,1091.15,0.954,12,2021-03-19,Seasonal
PROD067,Daiko ProxSensor 104,Industrial Components,Sensors,186.93,267.91,2.709,12,2018-05-09,Active
PROD068,Daiko FlashCore 102,Semiconductors,Memory Chips,58.35,91.76,0.313,12,2019-03-14,Active
PROD069,Daiko GigaSwitch 102,Networking Equipment,Switches,151.42,232.31,4.908,24,2020-01-21,Discontinued
PROD070,Daiko StepDown 102,Power Systems,Transformers,111.8,172.04,13.947,24,2024-12-23,Discontinued
PROD071,Daiko HomeHub 103,Consumer Electronics,Smart Home,729.67,1115.13,2.791,36,2021-05-06,Active
PROD072,Daiko LogicPanel 103,Industrial Components,Control Units,230.88,314.76,9.782,12,2024-03-08,Active
PROD073,Daiko MemChip 103,Semiconductors,Memory Chips,343.75,521.75,0.169,24,2020-06-20,Active
PROD074,Daiko RouteMax 102,Networking Equipment,Routers,362.41,471.17,7.712,24,2023-09-24,Active
PROD075,Daiko PowerCell 105,Power Systems,Batteries,451.63,668.5,20.105,12,2021-07-26,Active
PROD076,Daiko SmartPlug 101,Consumer Electronics,Smart Home,611.96,902.37,4.516,36,2021-12-04,Active
PROD077,Daiko TorqueMax 103,Industrial Components,Motors,225.93,284.43,0.447,24,2024-11-13,Active
PROD078,Daiko CoreProc 103,Semiconductors,Processors,110.12,168.02,0.407,24,2019-01-26,Active
PROD079,Daiko RouteMax 103,Networking Equipment,Routers,179.97,281.86,5.987,36,2020-12-03,Active
PROD080,Daiko TransCore 103,Power Systems,Transformers,254.67,342.17,21.353,24,2018-01-27,Active
PROD081,Daiko HomeHub 104,Consumer Electronics,Smart Home,173.02,265.47,1.333,12,2019-07-02,Active
PROD082,Daiko MicroMotor 102,Industrial Components,Motors,336.3,430.07,13.374,24,2019-07-21,Active
PROD083,Daiko MemChip 104,Semiconductors,Memory Chips,274.82,401.23,0.235,12,2019-12-05,Active
PROD084,Daiko EdgeRouter 106,Networking Equipment,Routers,357.33,507.4,5.14,12,2021-05-27,Active
PROD085,Daiko PowerInvert 101,Power Systems,Inverters,362.7,522.68,3.308,12,2018-07-04,Active
PROD086,Daiko EarPods 101,Consumer Electronics,Audio Devices,613.59,965.9,4.683,24,2022-05-10,Active
PROD087,Daiko ServoAct 101,Industrial Components,Actuators,348.11,541.3,0.364,24,2023-03-29,Seasonal
PROD088,Daiko MCU-X 102,Semiconductors,Microcontrollers,302.86,461.79,0.29,12,2020-04-27,Active
PROD089,Daiko MeshPoint 105,Networking Equipment,Access Points,250.98,337.77,1.457,24,2019-08-22,Seasonal
PROD090,Daiko FastCharge 101,Power Systems,Chargers,275.0,431.51,14.821,36,2020-03-16,Active
PROD091,Daiko SmartPlug 102,Consumer Electronics,Smart Home,356.21,457.42,4.466,12,2021-09-19,Active
PROD092,Daiko LinearDrive 101,Industrial Components,Actuators,254.23,393.72,8.917,12,2023-10-28,Discontinued
PROD093,Daiko CoreProc 104,Semiconductors,Processors,377.92,515.81,0.181,24,2023-02-22,Active
PROD094,Daiko EdgeRouter 107,Networking Equipment,Routers,167.27,212.24,5.419,12,2024-09-26,Active
PROD095,Daiko StepDown 103,Power Systems,Transformers,159.35,236.52,13.285,24,2019-06-30,Active
PROD096,Daiko SoundMax 103,Consumer Electronics,Audio Devices,295.19,392.88,0.694,12,2022-06-21,Active
PROD097,Daiko ThermoSense 101,Industrial Components,Sensors,294.8,393.63,3.967,24,2024-01-26,Active
PROD098,Daiko EdgeCPU 102,Semiconductors,Processors,210.29,285.39,0.031,24,2023-09-11,Active
PROD099,Daiko GigaSwitch 103,Networking Equipment,Switches,367.71,467.83,2.979,24,2024-05-23,Active
PROD100,Daiko PowerInvert 102,Power Systems,Inverters,459.61,603.01,17.084,36,2023-04-11,Active
PROD101,Daiko TabLite 105,Consumer Electronics,Tablets,272.69,341.35,3.225,36,2019-09-09,Seasonal
PROD102,Daiko PressureGuard 102,Industrial Components,Sensors,71.76,100.89,6.72,24,2024-05-06,Active
PROD103,Daiko RectiDiode 101,Semiconductors,Diodes,154.23,197.34,0.457,24,2021-04-18,Active
PROD104,Daiko EdgeRouter 108,Networking Equipment,Routers,86.81,129.25,5.705,12,2022-10-26,Discontinued
PROD105,Daiko EnergyPack 103,Power Systems,Batteries,150.51,200.55,13.443,24,2018-08-14,Active
PROD106,Daiko EliteBook 103,Consumer Electronics,Laptops,444.1,701.79,5.476,12,2019-11-01,Active
PROD107,Daiko TorqueMax 104,Industrial Components,Motors,107.63,167.36,1.551,36,2022-10-30,Active
PROD108,Daiko ZenerPro 106,Semiconductors,Diodes,154.73,209.09,0.061,12,2020-07-05,Active
PROD109,Daiko GigaSwitch 104,Networking Equipment,Switches,116.58,177.68,4.804,24,2023-12-14,Active
PROD110,Daiko EnergyPack 104,Power Systems,Batteries,83.5,127.85,2.206,12,2023-10-23,Discontinued
PROD111,Daiko TabLite 106,Consumer Electronics,Tablets,677.24,1080.4,2.361,24,2021-04-29,Seasonal
PROD112,Daiko PressureGuard 103,Industrial Components,Sensors,70.12,102.32,3.953,36,2022-09-02,Active
PROD113,Daiko FlashCore 103,Semiconductors,Memory Chips,271.15,346.72,0.145,12,2023-01-17,Active
PROD114,Daiko NetSwitch 101,Networking Equipment,Switches,277.59,409.83,1.413,36,2023-06-07,Active
PROD115,Daiko EnergyPack 105,Power Systems,Batteries,373.45,548.5,13.327,12,2018-02-25,Active
PROD116,Daiko WorkStation 103,Consumer Electronics,Laptops,609.04,897.37,4.908,24,2019-12-21,Discontinued
PROD117,Daiko MicroMotor 103,Industrial Components,Motors,225.73,306.43,4.577,36,2023-09-11,Active
PROD118,Daiko RectiDiode 102,Semiconductors,Diodes,132.07,204.83,0.17,12,2019-07-28,Active
PROD119,Daiko WiFi AP 103,Networking Equipment,Access Points,132.43,210.01,1.859,36,2019-10-29,Discontinued
PROD120,Daiko ChargeDock 103,Power Systems,Chargers,484.88,643.05,16.005,12,2018-10-11,Active
